70002       ,65.26     ,  '05-oct-2012' , 3002       ,  5001
70004     ,  110.5     ,  '17-aug-2012' , 3009   ,      5003
70007     ,  948.5   ,    '10-sep-2012',  3005    ,     5002
70005   ,    2400.6   ,   '27-jul-2012',  3007   ,      5001
70008   ,    5760   ,     '10-sep-2012' , 3002    ,     5001
70010  ,     1983.43 ,    '10-oct-2012' , 3004  ,       5006
70003  ,     2480.4  ,    '10-oct-2012' , 3009  ,       5003
70012   ,    250.45  ,    '27-jun-2012',  3008  ,       5002
70011    ,   75.29   ,    '17-aug-2012' ,3003   ,      5007
70013   ,    3045.6  ,    '25-apr-2012',  3002 ,        5001
